trip_id,subscriber_type,bike_id,bike_type,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes
19354969,3-Day Explorer,349G,classic,2019-03-09 22:36:48.000000 UTC,4057,6th & Chalmers ,4051,10th & Red River,13
19185585,Local365,15059E,electric,2019-01-14 09:41:11.000000 UTC,3619,6th & Congress,4051,10th & Red River,5
18265104,Local365,650,classic,2018-08-16 12:47:01.000000 UTC,3619,6th & Congress,4051,10th & Red River,24
18671394,U.T. Student Membership,19,classic,2018-09-26 17:31:02.000000 UTC,3619,6th & Congress,4051,10th & Red River,6
18885245,U.T. Student Membership,64,classic,2018-10-26 18:53:32.000000 UTC,3619,6th & Congress,4051,10th & Red River,7
18884938,U.T. Student Membership,655,classic,2018-10-26 18:16:08.000000 UTC,3619,6th & Congress,4051,10th & Red River,6
19360198,3-Day Explorer,1930,classic,2019-03-10 23:17:50.000000 UTC,2496,8th & Congress,4051,10th & Red River,5
18516078,Local365,391,classic,2018-09-11 06:58:53.000000 UTC,2496,8th & Congress,4051,10th & Red River,5
18777732,Local365,2459,classic,2018-10-10 06:51:42.000000 UTC,2496,8th & Congress,4051,10th & Red River,5
19867165,Explorer,655,classic,2019-05-29 22:24:27.000000 UTC,4047,8th & Lavaca,4051,10th & Red River,8
18506166,Local365,666,classic,2018-09-10 06:50:04.000000 UTC,4047,8th & Lavaca,4051,10th & Red River,5
19215195,Local365,414,classic,2019-01-24 17:05:36.000000 UTC,2502,Barton Springs & Riverside,4051,10th & Red River,13
19194824,Local365,306,classic,2019-01-17 11:53:23.000000 UTC,2502,Barton Springs & Riverside,4051,10th & Red River,12
19201950,24 Hour Walk Up Pass,435,classic,2019-01-19 17:40:05.000000 UTC,2711,Barton Springs @ Kinney Ave,4051,10th & Red River,42
19372482,Local30,547,classic,2019-03-13 13:50:17.000000 UTC,2711,Barton Springs @ Kinney Ave,4051,10th & Red River,15
19204553,Single Trip,050G,classic,2019-01-20 16:44:07.000000 UTC,2572,Barton Springs Pool,4051,10th & Red River,35
19204559,Single Trip,869,classic,2019-01-20 16:45:22.000000 UTC,2572,Barton Springs Pool,4051,10th & Red River,34
19649828,24 Hour Walk Up Pass,1511,classic,2019-04-27 14:36:26.000000 UTC,2572,Barton Springs Pool,4051,10th & Red River,43
19649822,24 Hour Walk Up Pass,198BB,electric,2019-04-27 14:35:41.000000 UTC,2572,Barton Springs Pool,4051,10th & Red River,44
19527983,24 Hour Walk Up Pass,14148,classic,2019-04-09 17:59:11.000000 UTC,3687,Boardwalk West,4051,10th & Red River,34
19202250,3-Day Explorer,774,classic,2019-01-19 21:10:28.000000 UTC,3390,Brazos & 6th,4051,10th & Red River,9
19202249,3-Day Explorer,425,classic,2019-01-19 21:10:11.000000 UTC,3390,Brazos & 6th,4051,10th & Red River,9
18427189,Weekender,1486,classic,2018-09-01 21:33:36.000000 UTC,3390,Brazos & 6th,4051,10th & Red River,34
18427232,Walk Up,447,classic,2018-09-01 21:40:42.000000 UTC,3390,Brazos & 6th,4051,10th & Red River,27
18794886,24 Hour Walk Up Pass,151G,classic,2018-10-12 17:19:56.000000 UTC,2823,Capital Metro HQ - East 5th at Broadway,4051,10th & Red River,21
19285657,3-Day Explorer,311,classic,2019-02-16 11:34:27.000000 UTC,2497,Capitol Station / Congress & 11th,4051,10th & Red River,11
19285658,3-Day Explorer,182,classic,2019-02-16 11:34:27.000000 UTC,2497,Capitol Station / Congress & 11th,4051,10th & Red River,9
19544017,U.T. Student Membership,034G,classic,2019-04-12 17:01:44.000000 UTC,2497,Capitol Station / Congress & 11th,4051,10th & Red River,1262
19799992,24 Hour Walk Up Pass,110G,classic,2019-05-20 11:30:04.000000 UTC,2497,Capitol Station / Congress & 11th,4051,10th & Red River,5
18998298,3-Day Explorer,479,classic,2018-11-18 09:51:07.000000 UTC,2497,Capitol Station / Congress & 11th,4051,10th & Red River,6
18970324,24 Hour Walk Up Pass,15063E,electric,2018-11-10 17:49:33.000000 UTC,2497,Capitol Station / Congress & 11th,4051,10th & Red River,13
19212217,Local30,2326,classic,2019-01-23 15:49:06.000000 UTC,2499,City Hall / Lavaca & 2nd,4051,10th & Red River,77
18636774,Walk Up,3,classic,2018-09-22 22:23:16.000000 UTC,2499,City Hall / Lavaca & 2nd,4051,10th & Red River,1951
18792740,3-Day Weekender,2326,classic,2018-10-12 13:48:29.000000 UTC,2499,City Hall / Lavaca & 2nd,4051,10th & Red River,19
18792733,3-Day Weekender,1551,classic,2018-10-12 13:47:40.000000 UTC,2499,City Hall / Lavaca & 2nd,4051,10th & Red River,20
19416259,Explorer,4,classic,2019-03-21 19:57:32.000000 UTC,3684,Congress & Cesar Chavez,4051,10th & Red River,20
19434804,Single Trip ,655,classic,2019-03-24 20:56:12.000000 UTC,2539,Convention Center / 3rd & Trinity,4051,10th & Red River,4
18983823,Local365- 1/2 off Anniversary Special,993,classic,2018-11-14 21:16:13.000000 UTC,2539,Convention Center / 3rd & Trinity,4051,10th & Red River,4
19281995,Local365,354G,classic,2019-02-15 12:34:45.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,7
19352744,3-Day Explorer,2326,classic,2019-03-09 15:12:09.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,6
19798693,Single Trip Ride,188,classic,2019-05-20 07:22:28.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,103
18888715,3-Day Weekender,14143,classic,2018-10-27 12:49:18.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,51
18888704,3-Day Weekender,984,classic,2018-10-27 12:48:31.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,51
18888740,3-Day Weekender,3471,classic,2018-10-27 12:51:18.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,49
18888725,3-Day Weekender,893,classic,2018-10-27 12:49:58.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,53
18858062,24 Hour Walk Up Pass,233G,classic,2018-10-22 15:49:06.000000 UTC,2498,Convention Center / 4th St. @ MetroRail,4051,10th & Red River,5
19196009,Local365+Guest Pass,113G,classic,2019-01-17 16:02:15.000000 UTC,2563,Davis at Rainey Street,4051,10th & Red River,13
19376319,Single Trip ,968,classic,2019-03-14 12:49:55.000000 UTC,2563,Davis at Rainey Street,4051,10th & Red River,36
19376315,Single Trip ,2143,classic,2019-03-14 12:48:40.000000 UTC,2563,Davis at Rainey Street,4051,10th & Red River,37
19819262,Local365,157,classic,2019-05-23 18:57:16.000000 UTC,2563,Davis at Rainey Street,4051,10th & Red River,9
18760668,3-Day Weekender,2204,classic,2018-10-07 13:28:49.000000 UTC,2563,Davis at Rainey Street,4051,10th & Red River,7
19018682,Local30,15063E,electric,2018-11-23 17:15:15.000000 UTC,2563,Davis at Rainey Street,4051,10th & Red River,50
19018691,Local30,15027E,electric,2018-11-23 17:16:57.000000 UTC,2563,Davis at Rainey Street,4051,10th & Red River,49
19383306,U.T. Student Membership,318G,classic,2019-03-15 17:21:11.000000 UTC,3794,Dean Keeton & Speedway ,4051,10th & Red River,13
19760730,U.T. Student Membership,305G,classic,2019-05-14 16:45:20.000000 UTC,3794,Dean Keeton & Speedway ,4051,10th & Red River,13
18753553,Explorer,287,classic,2018-10-06 14:56:51.000000 UTC,3794,Dean Keeton & Speedway ,4051,10th & Red River,18
18753540,24 Hour Walk Up Pass,936,classic,2018-10-06 14:55:54.000000 UTC,3794,Dean Keeton & Speedway ,4051,10th & Red River,19
18691354,U.T. Student Membership,382,classic,2018-09-28 18:48:05.000000 UTC,3795,Dean Keeton & Whitis,4051,10th & Red River,15
19235916,Local365,563,classic,2019-01-31 13:39:15.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19226312,Local365,14264,classic,2019-01-28 11:46:10.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,2
19229448,Local365,414,classic,2019-01-29 09:35:10.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19232777,Local365,326,classic,2019-01-30 09:39:53.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19247246,$1 Pay by Trip Winter Special,1596,classic,2019-02-03 15:23:02.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,36
19250687,Local365,93,classic,2019-02-04 14:28:40.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19298049,Local365,382,classic,2019-02-20 14:16:58.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19306464,3-Day Explorer,1782,classic,2019-02-23 12:10:28.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,9
19452902,Local365,2274,classic,2019-03-28 09:52:15.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,2
19337883,Local365,446,classic,2019-03-05 12:13:57.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19383829,Single Trip ,2286,classic,2019-03-15 18:34:11.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,1172
19407778,Local365,14151,classic,2019-03-20 09:52:18.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,136
19372083,Single Trip ,640,classic,2019-03-13 12:47:30.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,78
19412492,Local365,1782,classic,2019-03-21 10:00:54.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19372074,Single Trip ,551,classic,2019-03-13 12:46:11.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,17
19342765,Local365,263G,classic,2019-03-07 09:51:15.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19402324,Local365,545,classic,2019-03-19 09:55:28.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,4
19372079,Single Trip ,1424,classic,2019-03-13 12:46:57.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,17
19417569,Local365,273,classic,2019-03-22 09:44:59.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,5
19375479,Local365,874,classic,2019-03-14 09:47:10.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
19339887,Local365,1851,classic,2019-03-06 09:51:34.000000 UTC,2569,East 11th St. & San Marcos,4051,10th & Red River,3
